time,dist_mean,dist_std,dist_min,dist_max,strength_mean,strength_std,strength_min,strength_max,quality_mean,quality_min,quality_max
1780707030.2,1458.5,0.90,1456,1460,489,3.3,482,496,9.0,9,9
1780707030.7,1458.7,0.77,1457,1460,488,3.8,479,497,9.0,9,9
1780707031.2,1458.7,1.06,1456,1460,488,3.6,483,498,9.0,9,9
1780707031.7,1458.9,0.91,1457,1460,487,3.8,479,495,9.0,9,9
1780707032.2,1458.5,1.20,1456,1461,487,3.2,478,493,9.0,9,9
1780707032.7,1458.6,1.06,1456,1461,487,3.8,479,494,9.0,9,9
1780707033.2,1458.4,0.92,1456,1460,487,3.6,478,496,9.0,9,9
1780707033.7,1458.4,1.00,1456,1460,487,3.5,480,494,9.0,9,9
1780707034.2,1458.8,0.99,1456,1461,487,3.4,480,495,9.0,9,9
1780707034.7,1458.3,1.09,1456,1461,488,4.0,478,495,9.0,9,9
1780707035.2,1458.5,0.92,1457,1460,487,3.9,476,496,9.0,9,9
1780707035.7,1458.8,0.93,1457,1461,486,3.7,478,495,9.0,9,9
1780707036.2,1458.6,1.02,1456,1461,488,3.6,481,494,9.0,9,9
1780707036.7,1458.6,0.84,1456,1460,489,3.5,480,496,9.0,9,9
1780707037.2,1458.7,0.81,1456,1460,489,3.6,481,497,9.0,9,9
1780707037.7,1453.4,8.51,1427,1459,498,19.3,474,554,9.0,9,9
1780707038.2,1368.3,27.92,1335,1425,732,111.8,559,886,9.0,9,9
1780707038.7,1406.2,31.70,1352,1448,685,137.3,517,890,9.0,9,9
1780707039.2,1457.4,2.22,1450,1460,491,8.0,480,519,9.0,9,9
1780707039.7,1458.6,0.85,1457,1460,487,3.8,479,496,9.0,9,9
1780707040.2,1458.3,0.79,1457,1460,488,3.6,480,494,9.0,9,9
1780707040.7,1459.0,0.79,1457,1461,488,3.9,481,499,9.0,9,9
1780707041.2,1458.3,1.00,1457,1461,490,3.9,482,497,9.0,9,9
1780707041.7,1458.4,1.00,1457,1460,489,3.6,482,495,9.0,9,9
1780707042.2,1458.9,0.79,1458,1461,488,3.5,481,497,9.0,9,9
1780707042.7,1458.6,0.80,1457,1461,489,3.4,481,496,9.0,9,9
1780707043.2,1458.3,0.94,1456,1460,489,3.9,479,497,9.0,9,9
1780707043.7,1458.5,1.20,1456,1461,489,3.9,480,499,9.0,9,9
1780707044.2,1458.1,0.89,1456,1460,490,3.5,479,496,9.0,9,9
1780707044.7,1458.9,0.92,1457,1461,491,3.8,483,499,9.0,9,9
1780707045.2,1458.5,0.85,1457,1460,491,4.2,481,499,9.0,9,9
1780707045.7,1458.6,0.96,1457,1460,491,3.5,482,497,9.0,9,9
1780707046.2,1458.4,0.90,1457,1460,490,4.3,481,499,9.0,9,9
1780707046.7,1458.3,0.95,1456,1460,491,3.6,483,500,9.0,9,9
1780707047.2,1458.5,0.96,1457,1460,490,3.9,481,500,9.0,9,9
1780707047.7,1458.6,0.78,1457,1460,490,3.6,482,497,9.0,9,9
1780707048.2,1458.3,0.96,1456,1460,490,4.1,481,501,9.0,9,9
1780707048.7,1458.3,1.06,1456,1461,491,4.6,478,500,9.0,9,9
1780707049.2,1458.4,1.04,1456,1460,492,4.4,479,504,9.0,9,9
1780707049.7,1458.6,0.96,1457,1460,491,3.9,483,502,9.0,9,9
1780707050.2,1458.2,0.86,1457,1460,492,3.4,481,499,9.0,9,9
1780707050.7,1458.2,0.73,1457,1459,492,3.4,484,501,9.0,9,9
1780707051.2,1458.2,1.01,1456,1460,492,4.1,481,498,9.0,9,9
1780707051.7,1458.6,0.80,1457,1461,491,4.4,481,503,9.0,9,9
1780707052.2,1458.5,1.08,1456,1461,491,3.5,481,497,9.0,9,9
1780707052.7,1458.1,0.72,1457,1459,490,4.2,478,500,9.0,9,9
1780707053.2,1458.7,0.95,1456,1461,491,4.3,483,503,9.0,9,9
1780707053.7,1400.0,150.47,981,1460,1274,2842.4,347,15100,9.0,9,9
1780707054.2,1071.2,167.02,983,1459,2309,1900.2,173,12812,9.0,9,9
1780707054.7,1458.0,0.82,1456,1460,491,3.6,484,500,9.0,9,9
1780707055.2,1458.1,1.04,1456,1461,490,3.1,483,497,9.0,9,9
1780707055.7,1458.2,1.01,1456,1460,489,3.8,479,499,9.0,9,9
1780707056.2,1458.5,0.98,1456,1460,490,3.3,484,500,9.0,9,9
